intent,utterance
ShowEmailFromSender,check emails i got from adiana.sarene@gmail.com
ShowEmailFromSender,check emails i received from paul.quilkey@enron.com
ShowEmailFromSender,check my emails from janelle@outlook.com
ShowEmailFromSender,check my emails i got from orella.samanthia@yahoo.com
ShowEmailFromSender,check my emails i received from megen@yahoo.com
ShowEmailFromSender,get emails from wendy.whitworth@turner.com
ShowEmailFromSender,get emails i got from neda@outlook.com
ShowEmailFromSender,get emails i received from latia@gmail.com
ShowEmailFromSender,get my emails from clickathome@enron.com
ShowEmailFromSender,get my emails i got from mersey@outlook.com
ShowEmailFromSender,get my emails i received from willy@aol.com
ShowEmailFromTime,get emails arrived in the last two hours
ShowEmailFromTime,get emails that arrived on friday
ShowEmailFromTime,show me emails arrived today
ShowEmailFromTime,show me emails that arrived in the last 30 minutes
ShowEmailWithLabel,get my emails labelled offers
ShowEmailWithLabel,get my emails that have label later
ShowEmailWithLabel,get my emails with label books
ShowEmailWithLabel,show me my emails labelled notifications
ShowEmailWithLabel,show me my emails that have label ai
ShowEmailWithLabel,show me my emails with label nlp
ShowEmailWithPriority,show me important emails
ShowEmailWithSubject,get my emails with subject information requests
ShowEmailWithSubject,show me my emails with subject the original advantage
OpenFacebook,make a new facebook post
OpenFacebook,make a new post on facebook
OpenFacebook,post something on facebook
OpenFacebook,update my facebook status
PostPicture,post a picture on facebook
PostPicture,post a picture on my facebook
PostPicture,post a picture to facebook
PostPicture,post a picture to my facebook
PostPicture,put a picture on facebook
PostPicture,put a picture on my facebook
PostPicture,put a picture to facebook
PostPicture,put a picture to my facebook
PostPicture,upload a picture on facebook
PostPicture,upload a picture on my facebook
PostPicture,upload a picture to facebook
PostPicture,upload a picture to my facebook
PostPictureWithCaption,post a picture on facebook with caption with my dad
PostPictureWithCaption,post a picture with caption with my dad on facebook
PostPictureWithCaption,upload a picture on facebook with caption with my dad
PostPictureWithCaption,upload a picture with caption with my dad on facebook
PostPictureWithUrl,post www.tinyurl.com/vmkgtf9 on facebook
PostPictureWithUrl,upload www.tinyurl.com/vmkgtf9 to facebook
PostPictureWithUrl,upload to facebook www.tinyurl.com/vmkgtf9
PostPictureWithUrlAndWithCaption,caption www.tinyurl.com/vmkgtf9 as with my dad and post it on facebook
PostPictureWithUrlAndWithCaption,caption www.tinyurl.com/vmkgtf9 as with my dad and upload it on facebook
PostPictureWithUrlAndWithCaption,post www.tinyurl.com/vmkgtf9 on facebook with caption with my dad
PostPictureWithUrlAndWithCaption,post www.tinyurl.com/vmkgtf9 on my facebook with caption with my dad
PostPictureWithUrlAndWithCaption,put www.tinyurl.com/vmkgtf9 on facebook with caption with my dad
PostPictureWithUrlAndWithCaption,put www.tinyurl.com/vmkgtf9 on my facebook with caption with my dad
PostStatus,make a new post containing so tired today on facebook
PostStatus,make a new post that says calm morning with my dog and coffee on facebook
PostStatus,post i am so happy right now on facebook
PostStatus,post on facebook saying just bought two tickets to ibiza
PostStatus,post on facebook that so tired today
PostStatus,update my facebook page saying calm morning with my dog and coffee
PostStatus,update my facebook status saying i am so happy right now
ShowAlbumWithName,diplay photos in album holidays
ShowAlbumWithName,diplay photos in album cats on facebook
ShowAlbumWithName,diplay photos in my album memes
ShowAlbumWithName,diplay photos in my album holidays in jamaica on facebook
ShowAlbumWithName,show photos in album barcelona
ShowAlbumWithName,show photos in album my love on facebook
ShowAlbumWithName,show photos in my album holidays
ShowAlbumWithName,show photos in my album cats on facebook
AddWeight,log my weight on fitbit
AddWeight,make note of my weight on fitbit
AddWeight,record my weight on fitbit
NotifyOnWeight,notify me if my weight goes over 60 kg
NotifyOnWeight,tell me if my weight goes over 80 kg
ShowBMI,get my bmi from fitbit
ShowBMI,get my body measurements from fitbit
ShowBMI,get my weight from fitbit
ShowBMI,my bmi from fitbit
ShowBMI,my body measurements from fitbit
ShowBMI,my weight from fitbit
ShowSteps,get my fitbit step count
ShowSteps,get my steps from fitbit
ShowSteps,get the count of steps from fitbit
ShowSteps,get the fitbit pedometer
ShowSteps,get the fitbit step counter
ShowSteps,get the number of steps from fitbit
ShowSteps,get the number of steps i took
ShowSteps,get the step count from fitbit
ShowSteps,get the steps i have taken
ShowSteps,my fitbit step count
ShowSteps,my steps from fitbit
ShowSteps,the count of steps from fitbit
ShowSteps,the fitbit pedometer
ShowSteps,the fitbit step counter
ShowSteps,the number of steps from fitbit
ShowSteps,the number of steps i took
ShowSteps,the step count from fitbit
ShowSteps,the steps i have taken
ShowStepsOnDate,get my fitbit step count on 1st January
ShowStepsOnDate,get my fitbit steps on 15.02.2020
ShowStepsOnDate,get the count of steps on 1st January from fitbit
ShowStepsOnDate,get the fitbit pedometer on 15.02.2020
ShowStepsOnDate,get the fitbit step counter on 1st January
ShowStepsOnDate,get the number of steps from fitbit on 15.02.2020
ShowStepsOnDate,get the number of steps i took on 1st January
ShowStepsOnDate,get the step count on 15.02.2020 from fitbit
ShowStepsOnDate,get the steps i have taken on 1st January
ShowStepsOnDate,my fitbit step count on 15.02.2020
ShowStepsOnDate,my fitbit steps on 1st January
ShowStepsOnDate,the count of steps on 15.02.2020 from fitbit
ShowStepsOnDate,the fitbit pedometer on 1st January
ShowStepsOnDate,the fitbit step counter on 15.02.2020
ShowStepsOnDate,the number of steps from fitbit on 1st January
ShowStepsOnDate,the number of steps i took on 15.02.2020
ShowStepsOnDate,the step count on 1st January from fitbit
ShowStepsOnDate,the steps i have taken on 15.02.2020
CreateFile,create a file in google drive
CreateFile,create google drive file
CreateFileWithName,create a file in google drive named new file
CreateFileWithName,create a new file with name invoice on google drive
OpenFileWithName,open my readme for edition in google drive
OpenGdrive,display my files in google drive
OpenGdrive,display my google drive files
OpenGdrive,list my files in google drive
OpenGdrive,list my google drive files
OpenGdrive,show my files in google drive
OpenGdrive,show my google drive files
ShareFileWithNameToAddress,share my vegetarian recipies with mary.lou@gmail.com
ShareFileWithNameToAddress,share my movies to see with hahaha09@hotmail.com and give a permission for edition
ShareFileWithNameToAddress,share my CV with sarah_odonnell@yahoo.com and give a permission for read and write
ShareFileWithNameToAddress,share my project 1 with selena.g@gmail.com and give a permission for reading
ShowFilesFromTime,display my google drive files created this week
ShowFilesFromTime,display my google drive files modified this month
ShowFilesFromTime,list my google drive files created today
ShowFilesFromTime,list my google drive files modified this week
ShowFilesFromTime,show my google drive files created this month
ShowFilesFromTime,show my google drive files modified today
ShowFilesWithSize,display my google drive files larger than 1 mb
ShowFilesWithSize,display my google drive files smaller than 1 gigabyte
ShowFilesWithSize,list my google drive files larger than 500 kb
ShowFilesWithSize,list my google drive files smaller than 1 mb
ShowFilesWithSize,show my google drive files larger than 1 gigabyte
ShowFilesWithSize,show my google drive files smaller than 500 kb
ShowFilesWithStar,display my starred google drive files
ShowFilesWithStar,display the google drive files i starred
ShowFilesWithStar,list my starred google drive files
ShowFilesWithStar,list the google drive files i starred
ShowFilesWithStar,show my starred google drive files
ShowFilesWithStar,show the google drive files i starred
ShowFilesWithType,display my mp3 files in google drive
ShowFilesWithType,display my google drive files of type txt
ShowFilesWithType,list my jpeg files in google drive
ShowFilesWithType,list my google drive files of type mp3
ShowFilesWithType,show my txt files in google drive
ShowFilesWithType,show my google drive files of type jpeg
ShowOldestFiles,display my google drive files that were created most recently
ShowOldestFiles,display my newest google drive files
ShowOldestFiles,display my oldest google drive files
ShowOldestFiles,list my google drive files that were created most recently
ShowOldestFiles,list my newest google drive files
ShowOldestFiles,list my oldest google drive files
ShowOldestFiles,show my google drive files that were created most recently
ShowOldestFiles,show my newest google drive files
ShowOldestFiles,show my oldest google drive files
SortReverseAlphabetical,display my google drive files in alphabetical order
SortReverseAlphabetical,display my google drive files in reverse alphabetical order
SortReverseAlphabetical,list my google drive files in alphabetical order
SortReverseAlphabetical,list my google drive files in reverse alphabetical order
SortReverseAlphabetical,show my google drive files in alphabetical order
SortReverseAlphabetical,show my google drive files in reverse alphabetical order
OpenInstagram,open instagram
OpenInstagram,open my instagram
ShowLastNumberPictures,display my 2 latest instagram pictures
ShowLastNumberPictures,display my 10 latest instagram pictures on my account
ShowLastNumberPictures,display my 2 recent instagram pictures
ShowLastNumberPictures,display my 10 recent instagram pictures on my account
ShowLastNumberPictures,list my 2 latest instagram pictures
ShowLastNumberPictures,list my 10 latest instagram pictures on my account
ShowLastNumberPictures,list my 2 recent instagram pictures
ShowLastNumberPictures,list my 10 recent instagram pictures on my account
ShowLastNumberPictures,show me my 2 latest instagram pictures
ShowLastNumberPictures,show me my 10 latest instagram pictures on my account
ShowLastNumberPictures,show me my 2 recent instagram pictures
ShowLastNumberPictures,show me my 10 recent instagram pictures on my account
ShowLastNumberPictures,show my 2 latest instagram pictures
ShowLastNumberPictures,show my 10 latest instagram pictures on my account
ShowLastNumberPictures,show my 2 recent instagram pictures
ShowLastNumberPictures,show my 10 recent instagram pictures on my account
ShowPictures,display my instagram pictures
ShowPictures,display my recent instagram pictures
ShowPictures,list my instagram pictures
ShowPictures,list my recent instagram pictures
ShowPictures,show me my instagram pictures
ShowPictures,show me my recent instagram pictures
ShowPictures,show my instagram pictures
ShowPictures,show my recent instagram pictures
ShowPicturesFromDate,display my post from January
ShowPicturesFromDate,display my post from the 2nd of June
ShowPicturesFromDate,display my posts from February
ShowPicturesFromDate,display my posts from the 3rd of May
ShowPicturesFromDate,list my post from March
ShowPicturesFromDate,list my post from the 16 of July
ShowPicturesFromDate,list my posts from April
ShowPicturesFromDate,list my posts from the 30th of June
ShowPicturesFromDate,show me my post from May
ShowPicturesFromDate,show me my post from the 12th of October
ShowPicturesFromDate,show me my posts from January
ShowPicturesFromDate,show me my posts from the 20th of April
ShowPicturesFromDate,show my post from February
ShowPicturesFromDate,show my post from the 2nd of June
ShowPicturesFromDate,show my posts from March
ShowPicturesFromDate,show my posts from the 3rd of May
ShowPicturesWithFilter,display my instagram pictures that have the lark filter
ShowPicturesWithFilter,display my instagram pictures that have the juno filter applied
ShowPicturesWithFilter,display my instagram pictures that use filter sierra
ShowPicturesWithFilter,display my instagram pictures with filter valencia
ShowPicturesWithFilter,list my instagram pictures that have the clarendon filter
ShowPicturesWithFilter,list my instagram pictures that have the gingham filter applied
ShowPicturesWithFilter,list my instagram pictures that use filter crema
ShowPicturesWithFilter,list my instagram pictures with filter aden
ShowPicturesWithFilter,show me my instagram pictures that have the lark filter
ShowPicturesWithFilter,show me my instagram pictures that have the juno filter applied
ShowPicturesWithFilter,show me my instagram pictures that use filter sierra
ShowPicturesWithFilter,show me my instagram pictures with filter valencia
ShowPicturesWithFilter,show my instagram pictures that have the clarendon filter
ShowPicturesWithFilter,show my instagram pictures that have the gingham filter applied
ShowPicturesWithFilter,show my instagram pictures that use filter crema
ShowPicturesWithFilter,show my instagram pictures with filter aden
ShowPicturesWithHashtag,display my instagram pictures tagged fashionphoto
ShowPicturesWithHashtag,list my instagram pictures tagged instadog
ShowPicturesWithHashtag,show me my instagram pictures tagged resinjewelry
ShowPicturesWithHashtag,show my instagram pictures tagged frenchie
ShowPicturesWithLocation,display my instagram pictures i took in berlin
ShowPicturesWithLocation,display my instagram pictures i took when i was in new york
ShowPicturesWithLocation,display my instagram pictures tagged with location paris
ShowPicturesWithLocation,display my instagram pictures taken in london
ShowPicturesWithLocation,display my instagram pictures taken when i was in corral
ShowPicturesWithLocation,display my instagram pictures with geolocation tag hartly
ShowPicturesWithLocation,display my instagram pictures with gps tag magalia
ShowPicturesWithLocation,display my instagram pictures with location tag aldie
ShowPicturesWithLocation,display the instagram pictures i took in woodland mills
ShowPicturesWithLocation,display the instagram pictures i took when i was in martins ferry
ShowPicturesWithLocation,display the instagram pictures tagged with location hildreth
ShowPicturesWithLocation,display the instagram pictures taken in madbury
ShowPicturesWithLocation,display the instagram pictures taken when i was in westland
ShowPicturesWithLocation,display the instagram pictures with geolocation tag pine ridge
ShowPicturesWithLocation,display the instagram pictures with gps tag revloc
ShowPicturesWithLocation,display the instagram pictures with location tag mantachie
ShowPicturesWithLocation,list my instagram pictures i took in still river
ShowPicturesWithLocation,list my instagram pictures i took when i was in fontana dam
ShowPicturesWithLocation,list my instagram pictures tagged with location mount storm
ShowPicturesWithLocation,list my instagram pictures taken in arona
ShowPicturesWithLocation,list my instagram pictures taken when i was in willisville
ShowPicturesWithLocation,list my instagram pictures with geolocation tag ahmeek
ShowPicturesWithLocation,list my instagram pictures with gps tag lovely
ShowPicturesWithLocation,list my instagram pictures with location tag valley center
ShowPicturesWithLocation,list the instagram pictures i took in white river junction
ShowPicturesWithLocation,list the instagram pictures i took when i was in orgas
ShowPicturesWithLocation,list the instagram pictures tagged with location cerrillos
ShowPicturesWithLocation,list the instagram pictures taken in stoutsville
ShowPicturesWithLocation,list the instagram pictures taken when i was in douds
ShowPicturesWithLocation,list the instagram pictures with geolocation tag aberdeen
ShowPicturesWithLocation,list the instagram pictures with gps tag waynesboro
ShowPicturesWithLocation,list the instagram pictures with location tag ellwood city
ShowPicturesWithLocation,show me my instagram pictures i took in saddle river
ShowPicturesWithLocation,show me my instagram pictures i took when i was in killawog
ShowPicturesWithLocation,show me my instagram pictures tagged with location shepherdstown
ShowPicturesWithLocation,show me my instagram pictures taken in hettinger
ShowPicturesWithLocation,show me my instagram pictures taken when i was in carlin
ShowPicturesWithLocation,show me my instagram pictures with geolocation tag dows
ShowPicturesWithLocation,show me my instagram pictures with gps tag buckeye lake
ShowPicturesWithLocation,show me my instagram pictures with location tag brainardsville
ShowPicturesWithLocation,show me the instagram pictures i took in chicago
ShowPicturesWithLocation,show me the instagram pictures i took when i was in ellamore
ShowPicturesWithLocation,show me the instagram pictures tagged with location cedarvale
ShowPicturesWithLocation,show me the instagram pictures taken in welling
ShowPicturesWithLocation,show me the instagram pictures taken when i was in tennga
ShowPicturesWithLocation,show me the instagram pictures with geolocation tag sabetha
ShowPicturesWithLocation,show me the instagram pictures with gps tag paicines
ShowPicturesWithLocation,show me the instagram pictures with location tag easley
ShowPicturesWithLocation,show my instagram pictures i took in north tonawanda
ShowPicturesWithLocation,show my instagram pictures i took when i was in islandia
ShowPicturesWithLocation,show my instagram pictures tagged with location dothan
ShowPicturesWithLocation,show my instagram pictures taken in pond creek
ShowPicturesWithLocation,show my instagram pictures taken when i was in yeaddiss
ShowPicturesWithLocation,show my instagram pictures with geolocation tag new freedom
ShowPicturesWithLocation,show my instagram pictures with gps tag de graff
ShowPicturesWithLocation,show my instagram pictures with location tag park valley
ShowPicturesWithLocation,show the instagram pictures i took in iowa park
ShowPicturesWithLocation,show the instagram pictures i took when i was in drytown
ShowPicturesWithLocation,show the instagram pictures tagged with location margate city
ShowPicturesWithLocation,show the instagram pictures taken in sutter creek
ShowPicturesWithLocation,show the instagram pictures taken when i was in taylorstown
ShowPicturesWithLocation,show the instagram pictures with geolocation tag steen
ShowPicturesWithLocation,show the instagram pictures with gps tag elmwood
ShowPicturesWithLocation,show the instagram pictures with location tag searsboro
NotifyWhenPortalUpdates,notify me when huffington post front page updates
NotifyWhenPortalUpdates,notify me when huffington news updates
NotifyWhenPortalUpdatesInSection,notify me when the huffpost sport section publishes a new article
ShowNews,latest techcrunch news
ShowNews,latest news on new york times
ShowNews,news on nyt
ShowNews,open ny times
ShowNews,read wired
ShowNews,show me news from time
ShowNews,show me the news from time magazine
ShowNews,show news from fox news
ShowNews,show the news from huffington post
ShowNewsFromSection,the huffington politics section
ShowNewsFromSection,the tech section of the huffpost
CallEmergency,call 911
CallEmergency,call ambulance
CallEmergency,call emergency services
CallEmergency,call fire department
CallEmergency,call police
SMSToContact,send a message to valli
SMSToContact,send a sms to rhett
SMSToContact,send a text to charo
SMSToContact,text sonnie
SMSToContactWithMessage,send a message to anagnos containing call me
SMSToContactWithMessage,send a message to aurea saying we need to talk
SMSToContactWithMessage,send a text to jereme containing please answer
SMSToContactWithMessage,send a text to electra saying call me
SMSToContactWithMessage,send an sms message to felice containing we need to talk
SMSToContactWithMessage,send an sms message to jasmin saying please answer
SMSToContactWithMessage,send an sms to darryl containing call me
SMSToContactWithMessage,send an sms to jezebel saying we need to talk
SMSToContactWithMessage,sms goldfarb containing please answer
SMSToContactWithMessage,sms leanna saying call me
SMSToContactWithMessage,text malvie containing we need to talk
SMSToContactWithMessage,text anjanette saying please answer
ShowSMS,check my sms inbox
ShowSMS,display my sms inbox
ShowSMS,show my sms inbox
CheckLastMessages,check my last slack messages
CheckLastMessages,check my slack channel history
CheckLastMessages,get my last slack messages
CheckLastMessages,get my slack channel history
CheckMessagesFromUser,check messages i received on slack from mike
CheckMessagesFromUser,check recent messages from barry in slack
CheckMessagesFromUser,get messages i received on slack from xorgan
CheckMessagesFromUser,get recent messages from astrid in slack
CheckMessagesInChannel,check messages i received on slack in work
CheckMessagesInChannel,check recent slack messages in party
CheckMessagesInChannel,check slack messages in river i received in the last hour
CheckMessagesInChannel,get messages i received on slack in my fellas
CheckMessagesInChannel,get recent slack messages in jogging
CheckMessagesInChannel,get slack messages in class for physics i received in the last hour
OpenSlack,open slack
SendMessage,post a message on slack
SendMessage,post on slack
SendMessage,send a message on slack
SendMessage,send on slack
SendMessage,upload a message on slack
SendMessage,upload on slack
SendMessageToChannel,message timeline on slack saying by carrie peyton dale kasler and john hill
SendMessageToChannel,post start talks with venture capital firms in other to fundamentally on slack
SendMessageToChannel,post a message on slack to memorandum saying to sell to california during shortages
SendMessageToChannel,send been a little out of the loop lately to possibilities on slack
SendMessageToChannel,upload for incumbent carriers the fund will invest between to kobra on slack
SendPictureToChannel,post a picture on slack to porter
SendPictureToChannel,post on slack channel services
SendPictureToChannel,post on slack to speculate
SendPictureToChannel,send a picture on slack to teamsters
SendPictureToChannel,send something to slack channel baking
SendPictureToChannel,upload a picture on slack to featuring
SendPictureToChannel,upload a picture to slack channel citibank
SendPictureToChannelWithCaption,post a picture on slack to sellers with caption funny
SendPictureToChannelWithCaption,post a picture to slack channel megawatts with caption 24 hours until exam
SendPictureToChannelWithCaption,send a picture on slack to confidentially with caption minal
SendPictureToChannelWithCaption,send a picture to slack channel costs with caption arkansas
SendPictureToChannelWithCaption,upload a picture on slack to trader with caption decision
SendPictureToChannelWithCaption,upload a picture to slack channel editorial with caption crash
SendPictureWithUrlToChannel,post shorturl.at/C71eDmb to network on slack
SendPictureWithUrlToChannel,post shorturl.at/1UPJJUw to slack channel concerned
SendPictureWithUrlToChannel,send bit.ly/5RTHNrw to grocery on slack
SendPictureWithUrlToChannel,upload bit.ly/wQ9fQMD to work on slack
SetPurposeOnChannel,set the purpose for channel party to decisions on slack
SetPurposeOnChannel,set the purpose for slack channel river to bug fix
SetStatusAway,mark me as away on slack
SetStatusAway,mark me as not away on slack
SetStatusAway,set me as away on slack
SetStatusAway,set me as not away on slack
SetTopicInChannel,set the topic for channel my fellas to mona birthday on slack
SetTopicInChannel,set the topic of slack channel jogging to party
DecreaseVolume,decrease my speaker 's volume
DecreaseVolume,decrease speaker 's volume
DecreaseVolume,decrease the volume of my speaker
DecreaseVolume,decrease the volume of speaker
DecreaseVolume,decrease volume of my speaker
DecreaseVolume,decrease volume of speaker
DecreaseVolume,reduce my speaker 's volume
DecreaseVolume,reduce speaker 's volume
DecreaseVolume,reduce the volume of my speaker
DecreaseVolume,reduce the volume of speaker
DecreaseVolume,reduce volume of my speaker
DecreaseVolume,reduce volume of speaker
IncreaseVolume,increase my speaker 's volume
IncreaseVolume,increase the volume of the speaker
IncreaseVolume,make my speaker louder
IncreaseVolume,make the speaker louder
MuteOff,unmute my speaker
MuteOff,unmute speaker
MuteOff,unmute the speaker
MuteOn,mute my speaker
MuteOn,mute speaker
MuteOn,mute the speaker
MuteOn,silence my speaker
MuteOn,silence speaker
MuteOn,silence the speaker
TurnOnOrOff,help me switch on my speaker
TurnOnOrOff,help me switch off the speaker
TurnOnOrOff,help me turn on my speaker
TurnOnOrOff,help me turn off the speaker
TurnOnOrOff,switch on my speaker
TurnOnOrOff,switch off my speaker for me
TurnOnOrOff,switch on the speaker
TurnOnOrOff,switch off the speaker for me
TurnOnOrOff,turn on my speaker
TurnOnOrOff,turn off my speaker for me
TurnOnOrOff,turn on the speaker
TurnOnOrOff,turn off the speaker for me
NextSong,play next song
NextSong,play next song on spotify
NextSong,play next track
NextSong,play next track on spotify
NextSong,skip than song
NextSong,skip than song on spotify
NextSong,skip than track
NextSong,skip than track on spotify
NextSong,skip this song
NextSong,skip this song on spotify
NextSong,skip this track
NextSong,skip this track on spotify
OpenSpotify,open spotify
OpenSpotify,open spotify and play some music
OpenSpotify,open spotify to play some music
OpenSpotify,play some music on spotify
OpenSpotify,use spotify
OpenSpotify,use spotify and play some music
OpenSpotify,use spotify to play some music
Pause,pause my spotify
Pause,pause spotify
Pause,pause that song
Pause,pause that track
Pause,pause this song
Pause,pause this track
Pause,play my spotify
Pause,play spotify
Pause,play that song
Pause,play that track
Pause,play this song
Pause,play this track
Pause,repeat my spotify
Pause,repeat spotify
Pause,repeat that song
Pause,repeat that track
Pause,repeat this song
Pause,repeat this track
Pause,resume my spotify
Pause,resume spotify
Pause,resume that song
Pause,resume that track
Pause,resume this song
Pause,resume this track
PlayAlbumOfTypeByArtist,on spotify play this is how you smile stamina by angel olsen
PlayAlbumOfTypeByArtist,play anima by lightning bolt
PlayAlbumOfTypeByArtist,play first taste by boy harsher on spotify
PlayAlbumOfTypeByArtist,play a of the sun norman fucking rockwell by metronomy
PlayAlbumOfTypeByArtist,play a igor autoclave by fennesz on spotify
PlayAlbumOfTypeByArtist,play the year one demos black friday by tool
PlayAlbumOfTypeByArtist,play the agora 1000 gecs by alex cameron on spotify
PlaySong,on spotify play missing
PlaySong,play body
PlaySong,play wake up next to god on spotify
PlaySongByArtist,on spotify play got you by slow thai
PlaySongByArtist,play what is she waring by shellac
PlaySongByArtist,play the city of roses by xiu xiu on spotify
PreviousSong,go back
PreviousSong,go back to the last song
PreviousSong,go back to the last track
DetectLanguage,detect language of gdzie ja jestem
DetectLanguage,detect language of what is going on is written in
SetDefaultLanguage,change default language to italian
SetDefaultLanguage,change default output language to french
SetDefaultLanguage,change default translation language to english
SetDefaultLanguage,change language to japanease
SetDefaultLanguage,change output language to russian
SetDefaultLanguage,change translation language to polish
SetDefaultLanguage,set default language to german
SetDefaultLanguage,set default output language to spanish
SetDefaultLanguage,set default translation language to thai
SetDefaultLanguage,set language to czech
SetDefaultLanguage,set output language to finnish
SetDefaultLanguage,set translation language to esperanto
SetDefaultLanguageToLanguage,change default input language to turkish
SetDefaultLanguageToLanguage,change default source language to greek
SetDefaultLanguageToLanguage,change input language to mongolian
SetDefaultLanguageToLanguage,change source language to hawaiian
SetDefaultLanguageToLanguage,set default input language to hindi
SetDefaultLanguageToLanguage,set default source language to icelandic
SetDefaultLanguageToLanguage,set input language to italian
SetDefaultLanguageToLanguage,set source language to french
FollowUser,be a twitter follower of amilee110
FollowUser,become a follower of emilyclaiborne on twitter
FollowUser,become a twitter follower of kmore
FollowUser,follow myntmag on twitter
OpenTwitter,display my posts on twitter
OpenTwitter,display my recent tweets
OpenTwitter,display my tweets
OpenTwitter,display tweets i made
OpenTwitter,show my posts on twitter
OpenTwitter,show my recent tweets
OpenTwitter,show my tweets
OpenTwitter,show tweets i made
SendMessage,direct message on twitter saying think of me think of me fondly
SendMessage,dm on twitter saying tom hanks is on tomorrow sweet
SendMessage,message on twitter saying will tweet later peace
SendMessage,send a direct message on twitter saying waiting on that chat link
SendMessage,send a dm on twitter saying i just failed my biology final
SendMessage,send a message on twitter saying ob in class last day of it
SendMessageToUser,direct message on twitter to mikieee182 saying sleep over with coco pheobe merideth and genivive
SendMessageToUser,dm on twitter to dirtysouth777 saying is off to burrs todayy
SendMessageToUser,message on twitter to ohsnapitscatie saying i lost two followers
SendMessageToUser,send a direct message on twitter to chunkyface saying for me to be so tired
SendMessageToUser,send a dm on twitter to jonradical saying outside readinghopefully i don't get burned again
SendMessageToUser,send a message on twitter to renelae saying its been raining like all month
ShowTwittsWithHashtag,display tweets about salsa4change
ShowTwittsWithHashtag,display tweets about weather on twitter
ShowTwittsWithHashtag,display tweets with hashtag pentax
ShowTwittsWithHashtag,display tweets with hashtag farrahfawcettrip on twitter
ShowTwittsWithHashtag,find tweets about stumble
ShowTwittsWithHashtag,find tweets about bcleed09 on twitter
ShowTwittsWithHashtag,find tweets with hashtag qgoogle
ShowTwittsWithHashtag,find tweets with hashtag dublinbus on twitter
ShowTwittsWithHashtag,show tweets about jugglecon
ShowTwittsWithHashtag,show tweets about fastfood on twitter
ShowTwittsWithHashtag,show tweets with hashtag masheu09
ShowTwittsWithHashtag,show tweets with hashtag backgroundimage on twitter
ShowTwittsWithHashtag,tweets about gopensgo
ShowTwittsWithHashtag,tweets about pcatl on twitter
ShowTwittsWithHashtag,tweets with hashtag su2c
ShowTwittsWithHashtag,tweets with hashtag rbleipzig on twitter
UnfollowUser,stop following muertenthesnw on twitter
UnfollowUser,unfollow luvmyrandomness on twitter
MoonphaseInLocation,moon phase for berlin
MoonphaseInLocation,moon phase for location paris
MoonphaseInLocationOnDate,moon phase for tokyo on date 30 january
MoonphaseInLocationOnDate,moon phase for location warsaw on date 15 june
OpenWeather,the weather
OpenWeather,the weather outside
OpenWeather,what's the weather
OpenWeather,what's the weather like
OpenWeather,what's the weather like outside
OpenWeather,what's the weather outside
SunriseAndSunsetInLocation,sunrise and sunset for location new york
SunriseAndSunsetInLocation,sunrise and sunset times at dubai
SunriseAndSunsetInLocationAndOnDate,sunrise and sunset for location seul on date 7 september
SunriseAndSunsetInLocationAndOnDate,sunrise and sunset times at dakar on date 30 january
SunriseInLocation,sunrise at barnsdall
SunriseInLocation,sunrise time at summit
SunriseInLocation,when is sunrise at ringsted
SunriseInLocation,when is sunrise time at nixon
SunsetInLocation,sunset at sussex
SunsetInLocation,sunset time at saint robert
SunsetInLocation,when is sunset at east berkshire
SunsetInLocation,when is sunset time at toyah
WeatherInLocation,current weather at shawano
WeatherInLocation,current weather in terrace park
WeatherInLocation,the current weather at rockhouse
WeatherInLocation,the current weather in south international falls
WeatherInLocation,the weather at fairlee
WeatherInLocation,the weather in erin
WeatherInLocation,weather at jayess
WeatherInLocation,weather in east fultonham
WeatherInLocation,what is the wather in dos rios
WeatherInLocation,what is the wather like in beaman
WeatherTomorrow,tomorrow weather
WeatherTomorrow,weather tomorrow
WeatherTomorrow,what's the weather tommorow
WeatherTomorrow,what's the weather tommorow like
WeatherTomorrowInLocation,current weather at copalis crossing tomorrow
WeatherTomorrowInLocation,current weather in kraemer tomorrow
WeatherTomorrowInLocation,the current weather at michael tomorrow
WeatherTomorrowInLocation,the current weather in mount orab tomorrow
WeatherTomorrowInLocation,the weather at index tomorrow
WeatherTomorrowInLocation,the weather in center moriches tomorrow
WeatherTomorrowInLocation,weather at gerton tomorrow
WeatherTomorrowInLocation,weather in midland city tomorrow
WeatherTomorrowInLocation,what is the wather in jonas ridge tomorrow
WeatherTomorrowInLocation,what is the wather like in round rock tomorrow
OpenEngine,google search
OpenEngine,search on bing
OpenEngine,search on duckduckgo
OpenEngine,search on google
OpenEngine,web search
SearchImagesOnEngine,google image search
SearchImagesOnEngine,image search
SearchImagesOnEngine,search images on bing
SearchImagesOnEngine,search images on duckduckgo
SearchImagesOnEngine,search images on google
SearchImagesWithTextOnEngine,samsung galaxy s5 images on bing
SearchImagesWithTextOnEngine,iphone 6 images on duckduckgo
SearchImagesWithTextOnEngine,joker images images on google
SearchImagesWithTextOnEngine,images matching mike trout from bing
SearchImagesWithTextOnEngine,images matching adele weight loss from duckduckgo
SearchImagesWithTextOnEngine,images matching atari breakout from google
SearchImagesWithTextOnEngineWithWidthAndWithHeight,images from bing matching heisenberg with size 800 x 600
SearchImagesWithTextOnEngineWithWidthAndWithHeight,images from duckduckgo matching nintendo switch with size 800 x 600
